Trade-#,Instrument,Account,Strategy,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. profit,Commission,MAE,MFE,ETD,Bars,
1,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1180.5,1182.3,1/2/2015 7:49:00 AM,1/2/2015 3:00:00 PM,Buy,Exit on close,0.00152477763659462,0.00152477763659453,0,0.00652265988987721,0.00516730199068184,0.00364252435408721,377,
2,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1141.8,1152.1,1/6/2015 9:14:00 AM,1/6/2015 11:47:00 AM,Buy,Profit target,0.00902084428095985,0.0105593766991772,0,0.00376598353476962,0.00902084428095985,0,154,
3,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1160.7,1168.3,1/12/2015 7:07:00 AM,1/12/2015 3:00:00 PM,Buy,Exit on close,0.00654777289566633,0.0171762899953896,0,0.00206771775652631,0.00775394158697338,0.00120616869130705,422,
4,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1160,1168.6,1/13/2015 10:58:00 AM,1/13/2015 3:00:00 PM,Buy,Exit on close,0.0074137931034482,0.0247174245591484,0,0.00637931034482766,0.00836206896551728,0.000948275862069084,198,
5,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1153.7,1164.1,1/14/2015 5:42:00 AM,1/14/2015 7:06:00 AM,Buy,Profit target,0.00901447516685435,0.0339547143358798,0,0.0023402964375488,0.00901447516685435,0,85,
6,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1156.1,1166.5,1/15/2015 1:58:00 AM,1/15/2015 5:43:00 AM,Buy,Profit target,0.00899576161231735,0.043255924463977,0,0.00389239685148344,0.00899576161231735,0,218,
7,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1154,1156.5,1/20/2015 7:04:00 AM,1/20/2015 3:00:00 PM,Buy,Exit on close,0.00216637781629116,0.0455160109554502,0,0.00675909878682838,0.00675909878682838,0.00459272097053722,429,
8,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1152.3,1162.7,1/22/2015 6:45:00 AM,1/22/2015 7:24:00 AM,Buy,Profit target,0.00902542740605753,0.0549522398141995,0,0.00590124099626829,0.00902542740605753,0,40,
9,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1169.2,1160.5,1/28/2015 8:02:00 AM,1/28/2015 12:41:00 PM,Buy,Stop loss,-0.00744098528908659,0.0471023557170531,0,0.00744098528908659,0.00872391378720496,0.0161648990762916,280,
10,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1164.4,1155.7,1/30/2015 7:18:00 AM,1/30/2015 12:20:00 PM,Buy,Stop loss,-0.00747165922363453,0.0392787637428702,0,0.00747165922363453,0.00412229474407416,0.0115939539677087,303,
11,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1140.5,1150.8,2/2/2015 7:12:00 AM,2/2/2015 8:07:00 AM,Buy,Profit target,0.00903112669881627,0.0486646219336213,0,0.000876808417360807,0.00903112669881627,0,56,
12,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1206,1216.9,2/20/2015 6:59:00 AM,2/20/2015 9:36:00 AM,Buy,Profit target,0.00903814262023225,0.0581426023474492,0,0.0014925373134328,0.00903814262023225,0,158,
13,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1209.4,1209.3,3/6/2015 8:18:00 AM,3/6/2015 3:00:00 PM,Buy,Exit on close,-8.26856292377513E-05,0.0580551091605508,0,0.00446502397883255,0.00115759880932683,0.00124028443856458,363,
14,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1210.9,1221.8,3/13/2015 8:55:00 AM,3/13/2015 12:30:00 PM,Buy,Profit target,0.00900156908084884,0.0675792653170046,0,0.00181683045668515,0.00900156908084884,0,216,
15,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1232.4,1243.5,3/31/2015 7:08:00 PM,4/1/2015 8:15:00 AM,Buy,Profit target,0.00900681596884121,0.0771947552918657,0,0.0030022719896138,0.00900681596884121,0,629,
16,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1243.8,1253.5,4/9/2015 7:59:00 AM,4/9/2015 3:00:00 PM,Buy,Exit on close,0.00779868146004184,0.0855954540588149,0,0.00482392667631452,0.00795947901591903,0.000160797555877188,382,
17,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1251.3,1258.7,4/14/2015 7:12:00 AM,4/14/2015 3:00:00 PM,Buy,Exit on close,0.0059138495964198,0.0920155022966758,0,0.00111883641013335,0.00719251977942939,0.0012786701830096,423,
