Trade-#,Instrument,Account,Strategy,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. profit,Commission,MAE,MFE,ETD,Bars,
1,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1180.3,1182.3,1/2/2015 7:49:00 AM,1/2/2015 3:00:00 PM,Buy,Exit on close,0.00169448445310514,0.00169448445310505,0,0.00635431669914429,0.00533762602728116,0.00364314157417602,377,
2,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1141.6,1151.9,1/6/2015 9:14:00 AM,1/6/2015 11:47:00 AM,Buy,Profit target,0.00902242466713401,0.0107321974785668,0,0.00359145059565514,0.00902242466713401,0,154,
3,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1160.4,1168.3,1/12/2015 7:07:00 AM,1/12/2015 3:00:00 PM,Buy,Exit on close,0.00680799724233011,0.0176132594917351,0,0.001809720785936,0.00801447776628745,0.00120648052395733,422,
4,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1159.5,1168.6,1/13/2015 10:58:00 AM,1/13/2015 3:00:00 PM,Buy,Exit on close,0.00784821043553248,0.0255997024942143,0,0.0059508408796896,0.00879689521345411,0.000948684777921635,198,
5,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1153.2,1163.6,1/14/2015 5:42:00 AM,1/14/2015 7:06:00 AM,Buy,Profit target,0.00901838362816499,0.034848954060239,0,0.00190773499826573,0.00901838362816499,0,85,
6,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1155.6,1166,1/15/2015 1:58:00 AM,1/15/2015 5:43:00 AM,Buy,Profit target,0.00899965385946702,0.0441622364436127,0,0.00346140533056421,0.00899965385946702,0,218,
7,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1153.9,1156.5,1/20/2015 7:04:00 AM,1/20/2015 3:00:00 PM,Buy,Exit on close,0.00225322818268473,0.0465149722220626,0,0.00667302192564351,0.00684634717046526,0.00459311898778053,429,
8,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1152.3,1162.7,1/22/2015 6:45:00 AM,1/22/2015 7:24:00 AM,Buy,Profit target,0.00902542740605753,0.055960217133205,0,0.00590124099626829,0.00902542740605753,0,40,
9,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1168.8,1179.3,1/28/2015 8:02:00 AM,1/28/2015 9:28:00 AM,Buy,Profit target,0.00898357289527721,0.0654465127183339,0,0.000427789185489391,0.00898357289527721,0,87,
10,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1163.9,1155.8,1/30/2015 7:18:00 AM,1/30/2015 12:20:00 PM,Buy,Stop loss,-0.0069593607698257,0.0580316860553742,0,0.0069593607698257,0.00455365581235497,0.0115130165821807,303,
11,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1140,1150.3,2/2/2015 7:12:00 AM,2/2/2015 8:07:00 AM,Buy,Profit target,0.00903508771929821,0.0675910951486816,0,0.00043859649122807,0.00903508771929821,0,56,
12,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1205.9,1216.8,2/20/2015 6:59:00 AM,2/20/2015 9:26:00 AM,Buy,Profit target,0.00903889211377383,0.0772409358793562,0,0.00140973546728588,0.00903889211377383,0,148,
13,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1209.4,1209.3,3/6/2015 8:18:00 AM,3/6/2015 3:00:00 PM,Buy,Exit on close,-8.26856292377513E-05,0.0771518635347324,0,0.00446502397883255,0.00115759880932683,0.00124028443856458,363,
14,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1210.4,1221.3,3/13/2015 8:55:00 AM,3/13/2015 12:29:00 PM,Buy,Profit target,0.00900528750826162,0.0868519257559224,0,0.00140449438202251,0.00900528750826162,0,215,
15,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1232.4,1243.5,3/31/2015 7:08:00 PM,4/1/2015 8:15:00 AM,Buy,Profit target,0.00900681596884121,0.0966410010365866,0,0.0030022719896138,0.00900681596884121,0,629,
16,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1243.8,1253.5,4/9/2015 7:59:00 AM,4/9/2015 3:00:00 PM,Buy,Exit on close,0.00779868146004184,0.105193354879692,0,0.00482392667631452,0.00795947901591903,0.000160797555877188,382,
17,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1250.8,1258.7,4/14/2015 7:12:00 AM,4/14/2015 3:00:00 PM,Buy,Exit on close,0.00631595778701638,0.112173709455604,0,0.000719539494723268,0.00759513911096898,0.0012791813239526,423,
18,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1251.3,1242.5,4/17/2015 3:24:00 AM,4/17/2015 7:56:00 AM,Buy,Stop loss,-0.00703268600655315,0.104352140972259,0,0.00703268600655315,0.00375609366259094,0.0107887796691441,273,
19,TF 09-15,Backtest,TF2AfterBigDrop,Long,1,1248.8,1257.2,4/22/2015 1:15:00 AM,4/22/2015 3:00:00 PM,Buy,Exit on close,0.00672645739910321,0.111780518602117,0,0.00368353619474688,0.00864830237027543,0.00192184497117222,764,
