Instrument,Performance,Parameters,From,To,Total Net Profit,Gross Profit,Gross Loss,Profit Factor,Cumulative Profit,Max. Drawdown,Sharpe Ratio,Commission,Total # of Trades,Percent Profitable,# of Winning Trades,# of Losing Trades,Average Trade,Average Winning Trade,Average Losing Trade,Ratio avg. Win / avg. Loss,Max. conseq. Winners,Max. conseq. Losers,Largest Winning Trade,Largest Losing Trade,# of Trades per Day,Avg. Time in Market,Profit per Month,Max. Time to Recover,Average MAE,Average MFE,Average ETD,
TF 09-15,2.46,5/6/13/18/0.005/0.01/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,24839.9999999999,41860,-17020.0000000001,2.45945945945945,0.2268433097262,-0.020981460709074,1.71571032422673,0,79,0.594936708860759,47,32,0.00261194973964332,0.00742840429088899,-0.00446221788249876,1.6745255894192,8,3,0.0100401606425703,-0.00504303973567512,0,283.0 min,0.0256717750403423,22.1715277777778,0.00316619756975377,0.00580260271418181,0.00319065297453849,
TF 09-15,2.46,5/6/12/18/0.005/0.01/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,23200,39110,-15910.0000000001,2.45820238843494,0.209908080361416,-0.0209814607090741,2.15494920488417,0,73,0.589041095890411,43,30,0.00263478418483507,0.00758211583718672,-0.00445639118353564,1.71502492216391,7,3,0.0100401606425703,-0.00504303973567512,0,281.8 min,0.0239056729218583,22.1715277777778,0.00317556871341652,0.0058601301011403,0.00322534591630523,
TF 09-15,2.44,5/6/14/18/0.005/0.01/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,28239.9999999999,47910,-19670.0000000001,2.43568886629384,0.265165537966099,-0.0209845198835008,2.51555135063403,0,89,0.584269662921348,52,37,0.00266738768154105,0.00771430015738749,-0.00442557039262151,1.73308630870908,8,4,0.0100401606425703,-0.00504303973567512,0,281.6 min,0.0295906996618505,14.0770833333333,0.00316933427103176,0.00595630572818127,0.00328891804664022,
TF 09-15,2.43,4/6/12/15/0.005/0.008/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,23470,39839.9999999999,-16369.9999999999,2.43372021991449,0.2129932144074,-0.0169119826111246,2.41304797081624,0,80,0.625,50,30,0.00243359986173738,0.00663941444740293,-0.00457609111437188,1.46023213194869,6,3,0.00804150453955898,-0.00504303973567512,0,221.8 min,0.0242290146779733,21.3284722222222,0.00307213245914688,0.00513378383118335,0.00270018396944598,
TF 09-15,2.37,5/6/12/18/0.005/0.009/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,21780,37690.0000000001,-15910.0000000001,2.36895034569452,0.195939727491538,-0.0209814607090737,2.21766768216331,0,74,0.594594594594595,44,30,0.00244010258442611,0.00714225742621822,-0.00445639118353564,1.61519341751899,7,3,0.00903694515814658,-0.00504303973567512,0,259.4 min,0.0224326007969553,22.05625,0.00313381151299606,0.00554824460577193,0.00310814202134582,
TF 09-15,2.37,5/6/13/18/0.005/0.009/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,23239.9999999999,40260,-17020.0000000001,2.36545240893066,0.210802820033179,-0.020981460709074,1.63459505890577,0,80,0.6,48,32,0.00241261120435977,0.00699583059559879,-0.00446221788249876,1.57696827262044,8,3,0.00903694515814658,-0.00504303973567512,0,261.7 min,0.0239995216448294,22.05625,0.00312768929866063,0.00549745099116969,0.00308483978680991,
TF 09-15,2.35,4/6/11/16/0.005/0.008/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,21010,36549.9999999999,-15540,2.35199485199485,0.18642620935495,-0.0267964210165943,1.66327620748332,0,72,0.611111111111111,44,28,0.002394767404081,0.00689561558908085,-0.00467799402949019,1.496723996724,7,5,0.00803793907242183,-0.00504303973567512,0,212.9 min,0.0214206732934501,25.0986111111111,0.00312809614648585,0.00497849528494158,0.00258372788086058,
TF 09-15,2.34,5/6/12/16/0.005/0.01/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,23719.9999999999,41360,-17640.0000000001,2.34467120181405,0.215855133841319,-0.022868740980229,2.26250920781984,0,78,0.58974358974359,46,32,0.00253030371921083,0.00749990325646782,-0.0046134956155961,1.63107561865325,7,3,0.0100401606425703,-0.0050396563119631,0,278.7 min,0.0245283186330041,28.8055555555556,0.00323575741600729,0.00577259617669113,0.00324229245748031,
TF 09-15,2.34,4/6/11/15/0.005/0.008/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,20950,36539.9999999999,-15589.9999999999,2.34381013470174,0.186234708893147,-0.0219008904876686,1.8853894392657,0,72,0.611111111111111,44,28,0.00239260379161454,0.00689323103298137,-0.00467981044481905,1.49151554026474,7,4,0.00804150453955898,-0.00504303973567512,0,216.3 min,0.0214002310208483,24,0.00314174553948957,0.00504467097022891,0.00265206717861437,
TF 09-15,2.34,3/6/15/18/0.005/0.009/1 (BarsToWait/DropSize/DropTime/MFILength/Stop/Target/UnitsToBuy),1/1/2015 12:00:00 AM,9/5/2015 12:00:00 AM,24689.9999999999,43139.9999999999,-18450,2.33821138211381,0.227383782738787,-0.0197891490149775,2.53872296568468,0,83,0.590361445783133,49,34,0.00249113827819782,0.00735688552170914,-0.00452126216098025,1.62243238758918,7,4,0.00904095018613725,-0.00504303973567512,0,260.6 min,0.0257277861613388,43.1423611111111,0.00311128032066993,0.00571123354045187,0.00322009526225404,
